Tipo;Producto;AlfaBeta;Troquel;CodBarraPrinc;Laboratorio;Precio;Neto;CadenaFrio;RequiereVale;Trazable;CodKellerhoff
D;BODY CARE CALZA TERMICA PRO MUJER (1870) T.M;;;7798356550319;BODY CARE (MULTIPRENE S.A;34511,48;1;0;0;0;1000001770
D;BODY CARE CALZA TERMICA PRO MUJER (1870) T.S;;;7798356550302;BODY CARE (MULTIPRENE S.A;34511,48;1;0;0;0;1000001771
D;BODY CARE CASCO FRI/CAL THERMIC GEL(2400;;;7798356551293;BODY CARE (MULTIPRENE S.A;16045,17;1;0;0;0;1000026247
D;BODY CARE CODERA C/VELCRO(1502)T1;;;7798082441813;BODY CARE (MULTIPRENE S.A;11009,39;1;0;0;0;1000001772
D;BODY CARE CODERA C/VELCRO(1502)T2;;;7798082441820;BODY CARE (MULTIPRENE S.A;11009,39;1;0;0;0;1000001773
D;BODY CARE CODERA C/VELCRO(1502)T3;;;7798082441837;BODY CARE (MULTIPRENE S.A;11009,39;1;0;0;0;1000001774
D;BODY CARE CODERA C/VELCRO(1502)T4;;;7798082441844;BODY CARE (MULTIPRENE S.A;11009,39;1;0;0;0;1000001775
D;BODY CARE CODERA ELAST(1500)T1;;;7798082441714;BODY CARE (MULTIPRENE S.A;5138,29;1;0;0;0;1000001776
D;BODY CARE CODERA ELAST(1500)T2;;;7798082441721;BODY CARE (MULTIPRENE S.A;5138,29;1;0;0;0;1000001777
D;BODY CARE CODERA ELAST(1500)T3;;;7798082441738;BODY CARE (MULTIPRENE S.A;5138,29;1;0;0;0;1000001778
D;BODY CARE CODERA ELASTIC FLEX PRO C/SILICONA (1580) T1;;;7798356551255;BODY CARE (MULTIPRENE S.A;17841,57;1;0;0;0;1000029468
D;BODY CARE CODERA ELASTIC FLEX PRO C/SILICONA (1580) T2;;;7798356551262;BODY CARE (MULTIPRENE S.A;17841,57;1;0;0;0;1000029469
D;BODY CARE CODERA ELASTIC FLEX PRO C/SILICONA (1580) T3;;;7798356551279;BODY CARE (MULTIPRENE S.A;17841,57;1;0;0;0;1000029470
D;BODY CARE CODERA ELASTIC FLEX PRO C/SILICONA (1580) T4;;;7798356551286;BODY CARE (MULTIPRENE S.A;17841,57;1;0;0;0;1000029471
D;BODY CARE CODERA ELASTICA FLEX C/SUJECION (1502A) T1;;;7798082448959;BODY CARE (MULTIPRENE S.A;8539,92;1;0;0;0;1000028455
D;BODY CARE CODERA ELASTICA FLEX C/SUJECION (1502A) T2;;;7798082448966;BODY CARE (MULTIPRENE S.A;8539,92;1;0;0;0;1000028430
D;BODY CARE CODERA ELASTICA FLEX C/SUJECION (1502A) T3;;;7798082448973;BODY CARE (MULTIPRENE S.A;8539,92;1;0;0;0;1000028457
D;BODY CARE CODERA ELASTICA FLEX C/SUJECION (1502A) T4;;;7798082448980;BODY CARE (MULTIPRENE S.A;8539,92;1;0;0;0;1000028453
D;BODY CARE CODERA ELASTICA FLEX SIN COSTURA (1500A) T1;;;7798082446399;BODY CARE (MULTIPRENE S.A;6788,43;1;0;0;0;1000028465
D;BODY CARE CODERA ELASTICA FLEX SIN COSTURA (1500A) T2;;;7798082446405;BODY CARE (MULTIPRENE S.A;6788,43;1;0;0;0;1000028445
D;BODY CARE CODERA ELASTICA FLEX SIN COSTURA (1500A) T3;;;7798082446412;BODY CARE (MULTIPRENE S.A;6788,43;1;0;0;0;1000028468
D;BODY CARE CODERA ELASTICA FLEX SIN COSTURA (1500A) T4;;;7798082446429;BODY CARE (MULTIPRENE S.A;6788,43;1;0;0;0;1000028448
D;BODY CARE CODERA FR/CAL THERMIC GEL(2405;;;7798356551323;BODY CARE (MULTIPRENE S.A;15942,70;1;0;0;0;1000026248
D;BODY CARE CODERA ONE SIZE(1507)TU;;;7798082444937;BODY CARE (MULTIPRENE S.A;19108,81;1;0;0;0;1000001779
D;BODY CARE COLLAR DE FILADELFIA(1086)TL;;;7798082442377;BODY CARE (MULTIPRENE S.A;18254,05;1;0;0;0;1000001780
D;BODY CARE COLLAR DE FILADELFIA(1086)TM;;;7798082442360;BODY CARE (MULTIPRENE S.A;18254,05;1;0;0;0;1000001781
D;BODY CARE COLLAR DE FILADELFIA(1086)TS;;;7798082442353;BODY CARE (MULTIPRENE S.A;18254,05;1;0;0;0;1000001782
D;BODY CARE COLLAR DE SHANZ(1085)TL;;;7798082440052;BODY CARE (MULTIPRENE S.A;8468,39;1;0;0;0;1000001783
D;BODY CARE COLLAR DE SHANZ(1085)TM;;;7798082440045;BODY CARE (MULTIPRENE S.A;8468,39;1;0;0;0;1000001784
D;BODY CARE COLLAR DE SHANZ(1085)TS;;;7798082440038;BODY CARE (MULTIPRENE S.A;8468,39;1;0;0;0;1000001785
D;BODY CARE ESPALDERA ELAST EN 8(BC1065)T1;;;7798082440182;BODY CARE (MULTIPRENE S.A;7919,14;1;0;0;0;1000001786
D;BODY CARE ESPALDERA ELAST EN 8(BC1065)T2;;;7798082440199;BODY CARE (MULTIPRENE S.A;7919,14;1;0;0;0;1000001787
D;BODY CARE ESPALDERA ELAST EN 8(BC1065)T3;;;7798082440205;BODY CARE (MULTIPRENE S.A;7919,14;1;0;0;0;1000001788
D;BODY CARE ESPALDERA PREMIUM(1066)T1;;;7798082445071;BODY CARE (MULTIPRENE S.A;19656,43;1;0;0;0;1000001789
D;BODY CARE ESPALDERA PREMIUM(1066)T2;;;7798082445088;BODY CARE (MULTIPRENE S.A;19656,43;1;0;0;0;1000001790
D;BODY CARE ESPALDERA PREMIUM(1066)T3;;;7798082445095;BODY CARE (MULTIPRENE S.A;19656,43;1;0;0;0;1000001791
D;BODY CARE EXH DE GELES CHICO(3004)X 36 UNIDADES;;;;BODY CARE (MULTIPRENE S.A;163638,14;1;0;0;0;1000028475
D;BODY CARE EXH PIE PLASTICO CORRUGADO (3014) X 97 UNIDADES;;;;BODY CARE (MULTIPRENE S.A;696433,10;1;0;0;0;1000028474
D;BODY CARE FAJA CORTA(1302E)T1;;;7798082442551;BODY CARE (MULTIPRENE S.A;16263,68;1;0;0;0;1000001792
D;BODY CARE FAJA CORTA(1302E)T2;;;7798082442568;BODY CARE (MULTIPRENE S.A;16263,68;1;0;0;0;1000001793
D;BODY CARE FAJA CORTA(1302E)T3;;;7798082442575;BODY CARE (MULTIPRENE S.A;16263,68;1;0;0;0;1000001794
D;BODY CARE FAJA CORTA(1302E)T4;;;7798082442582;BODY CARE (MULTIPRENE S.A;16263,68;1;0;0;0;1000001795
D;BODY CARE FAJA CORTA(1302E)T5;;;7798082442599;BODY CARE (MULTIPRENE S.A;16263,68;1;0;0;0;1000001796
